Instance,Runtime,Dual_Bound,Primal_Bound,Lambdas,Optimal_Lambda,Optimal_Value
1,0.01699995994567871,"[0.9893375007382444, 0.987205220676617, 0.9862630940569082, 0.985818774351584, 0.9855968631605326, 0.9854868820374921, 0.9854318914759721, 0.9854045007239979, 0.9853909298557368, 0.985384144421606]","[0.9844646450311058, 0.9852792640167843, 0.9853744546462606, 0.9853744546462606, 0.9853769009144524, 0.9853769009144524, 0.9853769009144524, 0.9853773589874757, 0.9853773589874757, 0.9853773589874757]","[0.0004998221186402087, 0.00024991105932010434, 0.00012495552966005217, 6.247776483002609e-05, 3.123888241501304e-05, 1.561944120750652e-05, 7.80972060375326e-06, 3.90486030187663e-06, 1.952430150938315e-06, 9.762150754691576e-07]",9.762150754691576e-07,0.9853773589874757
2,0.0,"[0.9886814533502601, 0.9865952026962126, 0.9856688460171766, 0.985232739876885, 0.9850209387967567, 0.9849157281557419, 0.9848631228352347, 0.9848368201749811, 0.984823668844854, 0.9848170931797908]","[0.9839030285001263, 0.9847061163475502, 0.9847643130349271, 0.9848078254831566, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274]","[0.0004999378729258415, 0.00024996893646292076, 0.00012498446823146038, 6.249223411573019e-05, 3.1246117057865095e-05, 1.5623058528932548e-05, 7.811529264466274e-06, 3.905764632233137e-06, 1.9528823161165684e-06, 9.764411580582842e-07]",9.764411580582842e-07,0.9848105175147274
3,0.015000104904174805,"[0.9878219393250849, 0.9857541208011702, 0.9848811704728673, 0.9844746980823161, 0.9842738721980641, 0.9841734815392924, 0.9841239526564548, 0.9840992179475526, 0.9840868505931013, 0.9840806669158763]","[0.9832170655205954, 0.9839159562058926, 0.984047813158026, 0.9840688756607332, 0.984073090880521, 0.984073090880521, 0.9840744832386504, 0.9840744832386504, 0.9840744832386504, 0.9840744832386504]","[0.0004996140007644636, 0.0002498070003822318, 0.0001249035001911159, 6.245175009555795e-05, 3.1225875047778974e-05, 1.5612937523889487e-05, 7.806468761944743e-06, 3.903234380972372e-06, 1.951617190486186e-06, 9.75808595243093e-07]",9.75808595243093e-07,0.9840744832386504
4,0.01699995994567871,"[0.9905166307022076, 0.9884098519744607, 0.9874224662992512, 0.9869677361435486, 0.9867499083615495, 0.9866448230808962, 0.9865922804405697, 0.9865660091204065, 0.9865528734603249, 0.9865463056302839]","[0.986185424692328, 0.9863605329599991, 0.9864956543996539, 0.9865275165004296, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433]","[0.0004997018465185139, 0.00024985092325925694, 0.00012492546162962847, 6.246273081481424e-05, 3.123136540740712e-05, 1.561568270370356e-05, 7.80784135185178e-06, 3.90392067592589e-06, 1.951960337962945e-06, 9.759801689814724e-07]",9.759801689814724e-07,0.9865397378002433
5,0.01699995994567871,"[0.9900682330785441, 0.9878971623587062, 0.9869528264431827, 0.986502978763831, 0.9862878058191006, 0.9861823161646492, 0.9861318115902145, 0.9861065593029971, 0.9860939331593885, 0.9860876200875842]","[0.9849940242761764, 0.9859125404094055, 0.9860299031399519, 0.9860673895844505, 0.986073651841755, 0.9860813070157796, 0.9860813070157796, 0.9860813070157796, 0.9860813070157796, 0.9860813070157796]","[0.0004998144457182751, 0.00024990722285913756, 0.00012495361142956878, 6.247680571478439e-05, 3.1238402857392195e-05, 1.5619201428696098e-05, 7.809600714348049e-06, 3.904800357174024e-06, 1.952400178587012e-06, 9.76200089293506e-07]",9.76200089293506e-07,0.9860813070157796
6,0.01699995994567871,"[0.9882043575129724, 0.9859242759829014, 0.9849435650942501, 0.9844601075705463, 0.9842256424120076, 0.9841116976964771, 0.9840551654809834, 0.9840271749860147, 0.9840131797385303, 0.9840061821147877]","[0.9831818795271013, 0.9839355233775381, 0.9839753848021922, 0.9839843697347884, 0.9839977529809472, 0.9839977529809472, 0.983999184491046, 0.983999184491046, 0.983999184491046, 0.983999184491046]","[0.0004996352917307546, 0.0002498176458653773, 0.00012490882293268865, 6.245441146634432e-05, 3.122720573317216e-05, 1.561360286658608e-05, 7.80680143329304e-06, 3.90340071664652e-06, 1.95170035832326e-06, 9.7585017916163e-07]",9.7585017916163e-07,0.983999184491046
7,0.0,"[0.9893198485658498, 0.9872225776907625, 0.9862839746656455, 0.9858396443603488, 0.9856217318093057, 0.9855156068594662, 0.9854625931930935, 0.9854360863599063, 0.9854228329433137, 0.985416206235017]","[0.984701360022114, 0.9852691684314152, 0.9853666266119006, 0.9854022680734356, 0.9854070055364057, 0.9854095795267201, 0.9854095795267201, 0.9854095795267201, 0.9854095795267201, 0.9854095795267201]","[0.0004996532936070151, 0.00024982664680350754, 0.00012491332340175377, 6.245666170087688e-05, 3.122833085043844e-05, 1.561416542521922e-05, 7.80708271260961e-06, 3.903541356304805e-06, 1.9517706781524027e-06, 9.758853390762013e-07]",9.758853390762013e-07,0.9854095795267201
8,0.01699995994567871,"[0.9875474156476273, 0.9855559643236056, 0.9846927646212316, 0.984296820152525, 0.9841037401990032, 0.984009238278946, 0.9839627326587448, 0.9839394798486436, 0.9839278534435928, 0.9839220402410676]","[0.9831002553014825, 0.9837536987623119, 0.9838834097061687, 0.9839062189035073, 0.9839107881715567, 0.9839162270385425, 0.9839162270385425, 0.9839162270385425, 0.9839162270385425, 0.9839162270385425]","[0.0004994716955564342, 0.0002497358477782171, 0.00012486792388910855, 6.243396194455428e-05, 3.121698097227714e-05, 1.560849048613857e-05, 7.804245243069284e-06, 3.902122621534642e-06, 1.951061310767321e-06, 9.755306553836606e-07]",9.755306553836606e-07,0.9839162270385425
9,0.0,"[0.9876606829331931, 0.9853762955209019, 0.9843882814190037, 0.9839248271804739, 0.9836984537469724, 0.9835852670302218, 0.983528673671846, 0.9835003769926582, 0.9834862286530649, 0.9834791544832676]","[0.982728204456677, 0.9832102836866876, 0.9834436231024594, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708]","[0.0004996484938867328, 0.0002498242469433664, 0.0001249121234716832, 6.24560617358416e-05, 3.12280308679208e-05, 1.56140154339604e-05, 7.8070077169802e-06, 3.9035038584901e-06, 1.95175192924505e-06, 9.75875964622525e-07]",9.75875964622525e-07,0.9834720803134708
10,0.015000104904174805,"[0.9904331024339345, 0.9882163870009714, 0.987291947364675, 0.986846225524879, 0.9866266735123712, 0.9865188188751796, 0.9864654638510862, 0.9864387863390391, 0.9864254475830161, 0.9864187782050043]","[0.9855759512155842, 0.9862493431485049, 0.9863881365269157, 0.9864071214998633, 0.9864071214998633, 0.9864121088269926, 0.9864121088269926, 0.9864121088269926, 0.9864121088269926, 0.9864121088269926]","[0.0004999277838413817, 0.00024996389192069086, 0.00012498194596034543, 6.249097298017272e-05, 3.124548649008636e-05, 1.562274324504318e-05, 7.81137162252159e-06, 3.905685811260795e-06, 1.9528429056303973e-06, 9.764214528151987e-07]",9.764214528151987e-07,0.9864121088269926
11,0.019999980926513672,"[0.9902018137687363, 0.9881495288162073, 0.9872315180218517, 0.9867884801037747, 0.98657517055889, 0.9864701243136667, 0.9864185943283469, 0.9863928293356873, 0.9863799468393575, 0.9863735055911925]","[0.9856429578199318, 0.9862579734634771, 0.986326915794937, 0.9863568598995096, 0.9863623567789428, 0.9863670643430276, 0.9863670643430276, 0.9863670643430276, 0.9863670643430276, 0.9863670643430276]","[0.000499988644077684, 0.000249994322038842, 0.000124997161019421, 6.24985805097105e-05, 3.124929025485525e-05, 1.5624645127427626e-05, 7.812322563713813e-06, 3.906161281856906e-06, 1.953080640928453e-06, 9.765403204642266e-07]",9.765403204642266e-07,0.9863670643430276
12,0.01399993896484375,"[0.9894499472302564, 0.9865472153702695, 0.9853317051778787, 0.9847975188714971, 0.9845354976984402, 0.9844046315714924, 0.9843391985080189, 0.9843064819762816, 0.9842901237104129, 0.984281944577479]","[0.9832875623368695, 0.9839081383821274, 0.9842476065127372, 0.9842659947385123, 0.9842737654445446, 0.9842737654445446, 0.9842737654445446, 0.9842737654445446, 0.9842737654445446, 0.9842737654445446]","[0.000499733694694997, 0.0002498668473474985, 0.00012493342367374925, 6.246671183687462e-05, 3.123335591843731e-05, 1.5616677959218656e-05, 7.808338979609328e-06, 3.904169489804664e-06, 1.952084744902332e-06, 9.76042372451166e-07]",9.76042372451166e-07,0.9842737654445446
13,0.008999824523925781,"[0.9895971747803058, 0.9874348409271277, 0.9864802448476494, 0.9860372481996351, 0.9858207459181852, 0.9857124947774606, 0.9856588502720183, 0.9856320296784875, 0.985618715409539, 0.9856121184570237]","[0.9845900401108295, 0.9854724255396144, 0.98557507998097, 0.9856042436367358, 0.9856042436367358, 0.9856042436367358, 0.9856052090849565, 0.9856052090849565, 0.9856055215045088, 0.9856055215045088]","[0.0004999314817159756, 0.0002499657408579878, 0.0001249828704289939, 6.249143521449695e-05, 3.1245717607248475e-05, 1.5622858803624238e-05, 7.811429401812119e-06, 3.905714700906059e-06, 1.9528573504530297e-06, 9.764286752265148e-07]",9.764286752265148e-07,0.9856055215045088
14,0.017000198364257812,"[0.9871865079161612, 0.9845543943481259, 0.9834395352538454, 0.9829255678651942, 0.9826793780664356, 0.982557278439101, 0.9824970649244503, 0.9824669949436318, 0.982451959953222, 0.9824444424580173]","[0.9813582270641897, 0.9822492341979104, 0.9823587394704094, 0.9824260378109007, 0.9824351788117666, 0.9824351788117666, 0.9824369249628128, 0.9824369249628128, 0.9824369249628128, 0.9824369249628128]","[0.0004997166278056816, 0.0002498583139028408, 0.0001249291569514204, 6.24645784757102e-05, 3.12322892378551e-05, 1.561614461892755e-05, 7.808072309463774e-06, 3.904036154731887e-06, 1.9520180773659436e-06, 9.760090386829718e-07]",9.760090386829718e-07,0.9824369249628128
15,0.009999990463256836,"[0.9869738667547334, 0.9845431454811554, 0.9835024409936681, 0.9830004739872241, 0.9827522595349123, 0.9826325501759111, 0.9825736190638039, 0.9825441535077499, 0.9825294207297233, 0.9825220543407095]","[0.9810739621296203, 0.9823314207196467, 0.9824985069807801, 0.9824985069807801, 0.9825100816881948, 0.9825146879516962, 0.9825146879516962, 0.9825146879516962, 0.9825146879516962, 0.9825146879516962]","[0.0004998275339215192, 0.0002499137669607596, 0.0001249568834803798, 6.24784417401899e-05, 3.123922087009495e-05, 1.5619610435047475e-05, 7.809805217523737e-06, 3.904902608761869e-06, 1.9524513043809343e-06, 9.762256521904672e-07]",9.762256521904672e-07,0.9825146879516962
16,0.014000177383422852,"[0.989051607314828, 0.9868519485249563, 0.9859259657070327, 0.9854743397582971, 0.9852524449631097, 0.9851418764520361, 0.9850870822587341, 0.9850596851620832, 0.9850459866137579, 0.985039137339595]","[0.9839227789187367, 0.9849749005370831, 0.9850102244954065, 0.9850305501679226, 0.9850305501679226, 0.9850322880654322, 0.9850322880654322, 0.9850322880654322, 0.9850322880654322, 0.9850322880654322]","[0.0004999567819599536, 0.0002499783909799768, 0.0001249891954899884, 6.24945977449942e-05, 3.12472988724971e-05, 1.562364943624855e-05, 7.811824718124275e-06, 3.905912359062137e-06, 1.9529561795310686e-06, 9.764780897655343e-07]",9.764780897655343e-07,0.9850322880654322
17,0.01900005340576172,"[0.9886400480985351, 0.9862566717212923, 0.9852084929160845, 0.9847238963392132, 0.9844835094254644, 0.9843650817683268, 0.9843064291454772, 0.9842771418933945, 0.9842624982673532, 0.9842551764543326]","[0.9835239552604158, 0.9840689792123727, 0.9842105591871252, 0.984242610006449, 0.9842466541111884, 0.9842466541111884, 0.9842478546413119, 0.9842478546413119, 0.9842478546413119, 0.9842478546413119]","[0.0004998235037348792, 0.0002499117518674396, 0.0001249558759337198, 6.24779379668599e-05, 3.123896898342995e-05, 1.5619484491714974e-05, 7.809742245857487e-06, 3.904871122928743e-06, 1.9524355614643717e-06, 9.762177807321859e-07]",9.762177807321859e-07,0.9842478546413119
18,0.018999814987182617,"[0.9882882977611166, 0.9858074652546832, 0.9847532284244257, 0.984259903572954, 0.9840236050756093, 0.9839073858515022, 0.9838492762394491, 0.9838202214334224, 0.9838056940304086, 0.983798430328902]","[0.9828618289498174, 0.98358037147853, 0.9837482222764657, 0.9837749850966826, 0.9837911666273955, 0.9837911666273955, 0.9837911666273955, 0.9837911666273955, 0.9837911666273955, 0.9837911666273955]","[0.0004997781478369363, 0.0002498890739184681, 0.00012494453695923406, 6.247226847961703e-05, 3.1236134239808516e-05, 1.5618067119904258e-05, 7.809033559952129e-06, 3.9045167799760645e-06, 1.9522583899880322e-06, 9.761291949940161e-07]",9.761291949940161e-07,0.9837911666273955
19,0.015000104904174805,"[0.9898010645422891, 0.9875696665109263, 0.9865881504031249, 0.9861176091272547, 0.9858901035504687, 0.9857768062434654, 0.9857201575899637, 0.9856918332632127, 0.9856776710998373, 0.9856705900181498]","[0.9848410843173089, 0.9855719017892763, 0.9856305635413621, 0.9856581418504746, 0.9856635089364623, 0.9856635089364623, 0.9856635089364623, 0.9856635089364623, 0.9856635089364623, 0.9856635089364623]","[0.0004999517884426192, 0.0002499758942213096, 0.0001249879471106548, 6.24939735553274e-05, 3.12469867776637e-05, 1.562349338883185e-05, 7.811746694415926e-06, 3.905873347207963e-06, 1.9529366736039814e-06, 9.764683368019907e-07]",9.764683368019907e-07,0.9856635089364623
20,0.019999980926513672,"[0.9902144568274343, 0.987924670263825, 0.9868863930584646, 0.9863944268212095, 0.9861599786965791, 0.9860462709775135, 0.9859902324247785, 0.9859622182933951, 0.9859482112277038, 0.9859412076948577]","[0.9850769696538099, 0.9857446115199407, 0.9858720719974333, 0.9859147033072299, 0.9859292624668959, 0.9859326476149598, 0.9859342041620118, 0.9859342041620118, 0.9859342041620118, 0.9859342041620118]","[0.0004999653493019217, 0.00024998267465096085, 0.00012499133732548042, 6.249566866274021e-05, 3.1247834331370106e-05, 1.5623917165685053e-05, 7.811958582842527e-06, 3.905979291421263e-06, 1.9529896457106316e-06, 9.764948228553158e-07]",9.764948228553158e-07,0.9859342041620118
21,0.01399993896484375,"[0.9882926348488418, 0.9857954440582969, 0.9847136789880067, 0.984214793842979, 0.9839682897359607, 0.9838452973165362, 0.9837838011068241, 0.9837530530019679, 0.9837376789495398, 0.983729991923326]","[0.9829483758766041, 0.9835179166798367, 0.9836928084134088, 0.9837177935285366, 0.9837223048971119, 0.9837223048971119, 0.9837223048971119, 0.9837223048971119, 0.9837223048971119, 0.9837223048971119]","[0.0004996402872671428, 0.0002498201436335714, 0.0001249100718167857, 6.245503590839285e-05, 3.1227517954196424e-05, 1.5613758977098212e-05, 7.806879488549106e-06, 3.903439744274553e-06, 1.9517198721372765e-06, 9.758599360686382e-07]",9.758599360686382e-07,0.9837223048971119
22,0.01699995994567871,"[0.988953921135848, 0.986424929105601, 0.985331183244179, 0.9848285086337928, 0.9845811637343952, 0.9844590778774375, 0.9843993742024149, 0.984369700383422, 0.9843548634739258, 0.9843474450191771]","[0.9828335972949783, 0.9841553947771643, 0.9843139509823683, 0.9843326077135873, 0.9843368181699099, 0.9843389685694256, 0.9843400265644291, 0.9843400265644291, 0.9843400265644291, 0.9843400265644291]","[0.0004998848420920929, 0.00024994242104604646, 0.00012497121052302323, 6.248560526151161e-05, 3.124280263075581e-05, 1.5621401315377904e-05, 7.810700657688952e-06, 3.905350328844476e-06, 1.952675164422238e-06, 9.76337582211119e-07]",9.76337582211119e-07,0.9843400265644291
23,0.0,"[0.9885978309586583, 0.9860020888442065, 0.9849643342951313, 0.9844768261646495, 0.9842374894066566, 0.9841200435179064, 0.984061630781421, 0.9840324244131774, 0.9840178212290565, 0.9840105196369962]","[0.9830004182363568, 0.9838003747333429, 0.9839679682745761, 0.9839968120839325, 0.9840000782947392, 0.9840032180449347, 0.9840032180449347, 0.9840032180449347, 0.9840032180449347, 0.9840032180449347]","[0.0004997340414391789, 0.0002498670207195894, 0.0001249335103597947, 6.246675517989736e-05, 3.123337758994868e-05, 1.561668879497434e-05, 7.80834439748717e-06, 3.904172198743585e-06, 1.9520860993717924e-06, 9.760430496858962e-07]",9.760430496858962e-07,0.9840032180449347
24,0.01399993896484375,"[0.9884238936523516, 0.9864080074801399, 0.9855811544688521, 0.9851950428780345, 0.9850065361259301, 0.9849145525272369, 0.9848686612619086, 0.9848457156292444, 0.9848342428129131, 0.9848285064047465]","[0.983823260818786, 0.9846433431696916, 0.9847800430217104, 0.9848164240428029, 0.9848204580932894, 0.9848227699965807, 0.9848227699965807, 0.9848227699965807, 0.9848227699965807, 0.9848227699965807]","[0.0004996409066639301, 0.00024982045333196506, 0.00012491022666598253, 6.245511333299126e-05, 3.122755666649563e-05, 1.5613778333247816e-05, 7.806889166623908e-06, 3.903444583311954e-06, 1.951722291655977e-06, 9.758611458279885e-07]",9.758611458279885e-07,0.9848227699965807
25,0.008999824523925781,"[0.9877999996924416, 0.9854453800522691, 0.9845015812674391, 0.9840635635082193, 0.9838492213696526, 0.98374313534596, 0.9836900923341132, 0.9836635708281898, 0.9836503100752287, 0.9836436796987479]","[0.982718769481855, 0.9834236437609897, 0.9836193642059613, 0.9836304043873578, 0.9836370493222667, 0.9836370493222667, 0.9836370493222667, 0.9836370493222667, 0.9836370493222667, 0.9836370493222667]","[0.0004994935173079538, 0.0002497467586539769, 0.00012487337932698845, 6.243668966349422e-05, 3.121834483174711e-05, 1.5609172415873556e-05, 7.804586207936778e-06, 3.902293103968389e-06, 1.9511465519841945e-06, 9.755732759920973e-07]",9.755732759920973e-07,0.9836370493222667
26,0.01399993896484375,"[0.9892778753407057, 0.9873277047268485, 0.9864296482209385, 0.9859965712059852, 0.985782207730127, 0.9856758727150724, 0.9856227052075449, 0.9855961214537804, 0.9855828295768989, 0.9855761836384577]","[0.9849621430361611, 0.985481893721869, 0.9855634941910315, 0.9855634941910315, 0.9855695377000171, 0.9855695377000171, 0.9855695377000171, 0.9855695377000171, 0.9855695377000171, 0.9855695377000171]","[0.0004997767211299776, 0.0002498883605649888, 0.0001249441802824944, 6.24720901412472e-05, 3.12360450706236e-05, 1.56180225353118e-05, 7.8090112676559e-06, 3.90450563382795e-06, 1.952252816913975e-06, 9.761264084569875e-07]",9.761264084569875e-07,0.9855695377000171
27,0.0,"[0.9895383744644878, 0.986963039418829, 0.9858970964581276, 0.9853994422457149, 0.9851580859179148, 0.9850390702882355, 0.9849795624733956, 0.9849498085659752, 0.9849349316122653, 0.9849275076812203]","[0.9833756306659542, 0.9847322952234605, 0.9848762550060568, 0.9849160344243979, 0.9849200546585556, 0.9849200546585556, 0.9849200546585556, 0.9849200546585556, 0.9849200546585556, 0.9849201663446149]","[0.0004998065183767962, 0.0002499032591883981, 0.00012495162959419906, 6.247581479709953e-05, 3.1237907398549765e-05, 1.5618953699274882e-05, 7.809476849637441e-06, 3.9047384248187206e-06, 1.9523692124093603e-06, 9.761846062046801e-07]",9.761846062046801e-07,0.9849201663446149
28,0.019999980926513672,"[0.9883525549636235, 0.9859617237298621, 0.9849151845157251, 0.9844446488866888, 0.9842187585168883, 0.9841089697488344, 0.9840540753648074, 0.9840266281727938, 0.9840129045767875, 0.9840060427787845]","[0.9831332858623019, 0.9837710109729114, 0.9839576099736645, 0.9839849114216819, 0.9839991809807808, 0.9839991809807808, 0.9839991809807808, 0.9839991809807808, 0.9839991809807808, 0.9839991809807808]","[0.0004999285745586814, 0.0002499642872793407, 0.00012498214363967035, 6.249107181983518e-05, 3.124553590991759e-05, 1.5622767954958794e-05, 7.811383977479397e-06, 3.9056919887396985e-06, 1.9528459943698493e-06, 9.764229971849246e-07]",9.764229971849246e-07,0.9839991809807808
29,0.003999948501586914,"[0.9883322575718303, 0.9860597597266145, 0.9850882733403207, 0.9846410287096311, 0.9844222008313652, 0.9843127868922316, 0.9842580799226653, 0.984230726437882, 0.984217156778544, 0.9842103805187656]","[0.9829339567555652, 0.9840143643714198, 0.9841869187880042, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986, 0.9842033729530986, 0.9842036042589871, 0.9842036042589871]","[0.0004999492829051593, 0.00024997464145257967, 0.00012498732072628983, 6.249366036314492e-05, 3.124683018157246e-05, 1.562341509078623e-05, 7.811707545393115e-06, 3.905853772696557e-06, 1.9529268863482787e-06, 9.764634431741393e-07]",9.764634431741393e-07,0.9842036042589871
30,0.0,"[0.988495553390011, 0.9863383291381485, 0.985417073655115, 0.9849689731089117, 0.9847543054881193, 0.984648002652357, 0.984595992223532, 0.9845701308766619, 0.9845572002032273, 0.9845507348665099]","[0.9836151462565679, 0.9844672755846013, 0.984508864477789, 0.9845396378673262, 0.9845396378673262, 0.9845426642918423, 0.9845442695297923, 0.9845442695297923, 0.9845442695297923, 0.9845442695297923]","[0.000499829766608229, 0.0002499148833041145, 0.00012495744165205724, 6.247872082602862e-05, 3.123936041301431e-05, 1.5619680206507155e-05, 7.809840103253578e-06, 3.904920051626789e-06, 1.9524600258133944e-06, 9.762300129066972e-07]",9.762300129066972e-07,0.9845442695297923
31,0.009999990463256836,"[0.9892934475034045, 0.9872060116070618, 0.9862993115831076, 0.9858666481706911, 0.9856508918225464, 0.9855430136484741, 0.9854890745614379, 0.98546210501792, 0.985448620246161, 0.9854418778602811]","[0.9846406564991398, 0.9852919673105683, 0.9854268787217639, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019, 0.9854351354744019]","[0.0004998731092441831, 0.00024993655462209155, 0.00012496827731104578, 6.248413865552289e-05, 3.1242069327761444e-05, 1.5621034663880722e-05, 7.810517331940361e-06, 3.9052586659701805e-06, 1.9526293329850903e-06, 9.763146664925451e-07]",9.763146664925451e-07,0.9854351354744019
32,0.017000198364257812,"[0.989973588439854, 0.9878774748860981, 0.986923123111448, 0.9864635095142313, 0.9862390364730009, 0.9861302907551242, 0.9860763632150518, 0.9860496432342133, 0.9860362832437936, 0.9860296032485838]","[0.9852789901739671, 0.9859295042105524, 0.9859979380247782, 0.9860108342999774, 0.9860187666660766, 0.986022364291059, 0.9860229232533742, 0.9860229232533742, 0.9860229232533742, 0.9860229232533742]","[0.0004998463034125856, 0.0002499231517062928, 0.0001249615758531464, 6.24807879265732e-05, 3.12403939632866e-05, 1.56201969816433e-05, 7.81009849082165e-06, 3.905049245410825e-06, 1.9525246227054125e-06, 9.762623113527063e-07]",9.762623113527063e-07,0.9860229232533742
33,0.0,"[0.9885177406934511, 0.9865349113887624, 0.9856002485041462, 0.985154219340451, 0.9849365041942288, 0.9848288163005675, 0.9847755446618404, 0.9847493911741664, 0.9847363322148589, 0.9847298027352053]","[0.9839403265537042, 0.9846330113430697, 0.9846881377752882, 0.9847173940117502, 0.9847206683330927, 0.9847222730231132, 0.9847222730231132, 0.9847232732555515, 0.9847232732555515, 0.9847232732555515]","[0.0004995695611915511, 0.00024978478059577554, 0.00012489239029788777, 6.244619514894388e-05, 3.122309757447194e-05, 1.561154878723597e-05, 7.805774393617986e-06, 3.902887196808993e-06, 1.9514435984044964e-06, 9.757217992022482e-07]",9.757217992022482e-07,0.9847232732555515
