Instance,Runtime,Optimal_Value,Dual_Bound,Primal_Bound
1,0.0,0.4971500337457483,"[0.5051598474010115, 0.5051598474010115, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113, 0.5051598474010113]","[0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114, 0.5051598474010114]"
2,0.0,0.6657766071860693,"[0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969, 0.6657780222484969]","[0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497]"
3,0.0,0.58602475515359,"[0.5860772381431257, 0.5860772381431257, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256]","[0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256, 0.5860772381431256]"
4,0.0,0.5002095535822928,"[0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905]","[0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905, 0.5002104764686905]"
5,0.0,0.6368073778177009,"[0.6586802409086171, 0.6586802409086171, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169]","[-inf, 0.0, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169, 0.6368081973935169]"
6,0.0,0.6157109450332692,"[0.6415770951165337, 0.6415770951165337, 0.6210783774777011, 0.6210783774777011, 0.6159536980679932, 0.6159536980679932, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684, 0.615711695902684]"
7,0.0,0.6121755720185528,"[0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566, 0.6167270302351566]","[0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567, 0.6167270302351567]"
8,0.0,0.5881553806858444,"[0.5960541900076042, 0.5960541900076042, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752]","[-inf, 0.0, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752, 0.5881676473285752]"
9,0.0,0.46884042488556643,"[0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072, 0.487556458857072]","[0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205, 0.48755645885707205]"
10,0.0,0.6076286824172403,"[0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437, 0.6100996397043437]","[0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438, 0.6100996397043438]"
