Instance,Runtime,Optimal_Value,Dual_Bound,Primal_Bound
1,0.0,3.0739910095631214e-07,"[0.6493806854653031, 0.6346224168252843, 0.627243282505275, 0.6235537153452702, 0.6217089317652679, 0.6207865399752667, 0.6203253440802661, 0.6200947461327658, 0.6199794471590157, 0.6199217976721406, 0.619892972928703, 0.6198785605569842, 0.6198713543711248, 0.6198677512781952]","[0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656, 0.6198641481852656]"
2,0.0,3.474070975896125e-07,"[0.7637495581112237, 0.7147637901798604, 0.6902709062141787, 0.6780244642313378, 0.6719012432399174, 0.6688396327442072, 0.6673088274963521, 0.6665434248724246, 0.6661607235604609, 0.6659693729044789, 0.665873697576488, 0.6658258599124925, 0.6658019410804947, 0.6657899816644959, 0.6657840019564965]","[0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497, 0.665778022248497]"
3,0.0,3.10026844573782e-07,"[0.6788573850468191, 0.6564260240101597, 0.6452103434918299, 0.6396025032326651, 0.6367985831030827, 0.6353966230382915, 0.6346956430058959, 0.6343451529896982, 0.6341699079815992, 0.6340822854775497, 0.6340384742255251, 0.6340165685995126, 0.6340056157865065, 0.6340001393800033]","[0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003, 0.6339946629735003]"
4,0.0,2.956585531551168e-07,"[0.610146748914394, 0.5590649984285795, 0.5455159237605692, 0.5418554072389258, 0.5400251489781042, 0.5391100198476934, 0.5386524552824878, 0.5384236729998851, 0.5383092818585838, 0.5382520862879332, 0.5382234885026078, 0.5382091896099451, 0.5382020401636138, 0.5381984654404481]","[0.5002104764686905, 0.5312540778442186, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825, 0.5381948907172825]"
5,0.0,3.6230639245622937e-07,"[0.8266088451061453, 0.8123289016453843, 0.8051889299150039, 0.8016189440498136, 0.7998339511172186, 0.798941454650921, 0.7984952064177722, 0.7982720823011978, 0.7981605202429106, 0.798104739213767, 0.7980768486991952, 0.7980629034419093, 0.7980559308132664, 0.7980524444989449, 0.7980507013417841]","[0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234, 0.7980489581846234]"
6,0.0,3.523923607898321e-07,"[0.7862264879621237, 0.772972390338476, 0.7663453415266521, 0.7630318171207404, 0.7613750549177845, 0.7605466738163065, 0.7601324832655674, 0.7599253879901978, 0.7598218403525132, 0.7597700665336709, 0.7597441796242496, 0.759731236169539, 0.7597247644421836, 0.759721528578506, 0.7597199106466672]","[0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284, 0.7597182927148284]"
7,0.0,3.2758055067704133e-07,"[0.7227220223961988, 0.7075246403095465, 0.6999259492662203, 0.6961266037445573, 0.6942269309837257, 0.6932770946033099, 0.6928021764131022, 0.6925647173179981, 0.6924459877704461, 0.6923866229966702, 0.6923569406097821, 0.6923420994163382, 0.6923346788196163, 0.6923309685212551, 0.6923291133720746]","[0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942, 0.6923272582228942]"
8,0.0,3.488820443273639e-07,"[0.7527233977702441, 0.7383354263204861, 0.7311414405956072, 0.7275444477331676, 0.7257459513019479, 0.7248467030863379, 0.724397078978533, 0.7241722669246304, 0.7240598608976793, 0.7240036578842037, 0.7239755563774659, 0.723961505624097, 0.7239544802474125, 0.7239509675590703, 0.7239492112148992]","[0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281, 0.7239474548707281]"
9,0.0,3.32464076347796e-07,"[0.6688818734236994, 0.6343570069719522, 0.6170945737460787, 0.6099992296784251, 0.6091262164091656, 0.6086897097745357, 0.6084714564572209, 0.6083623297985635, 0.6083077664692347, 0.6082804848045704, 0.6082668439722382, 0.6082600235560721, 0.608256613347989, 0.6082549082439475, 0.6082540556919268]","[0.5998321405202051, 0.5998321405202051, 0.5998321405202051, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059, 0.6082532031399059]"
10,0.0,3.315739167528683e-07,"[0.713740235155662, 0.684438060438164, 0.6713285291106516, 0.6647737634468953, 0.6614963806150171, 0.6598576891990782, 0.6590383434911087, 0.6586286706371238, 0.6584238342101314, 0.6583214159966353, 0.6582702068898871, 0.6582446023365132, 0.6582318000598261, 0.6582253989214826, 0.6582221983523109]","[0.6100996397043438, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391, 0.6582189977831391]"
