Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
1,0.004000186920166016,"[0.7886592461345668, 0.749733177960313, 0.7458843542787224, 0.7277018935895156, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617, 0.7248408011518617]","[-inf, 0.0, 0.0, 0.0, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618, 0.7248408011518618]","[0.4998221186402087, 0.749733177960313, 0.6247776483002608, 0.6872554131302869, 0.7184942955453, 0.7341137367528066, 0.7263040161490533, 0.7223991558471766, 0.7243515859981149, 0.7253278010735841, 0.7248396935358494, 0.7245956397669822, 0.7247176666514158, 0.7246566532091989, 0.7246871599303073, 0.7247024132908615, 0.7247100399711386]",0.7248408011518618
2,0.005000114440917969,"[0.786433724373611, 0.7499068093887624, 0.7454226828313553, 0.7278767146124243, 0.7234538922893703, 0.7234538922893703, 0.7234538922893703, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702]","[-inf, 0.0, 0.0, 0.0, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702, 0.7234538922893702]","[0.4999378729258416, 0.7499068093887624, 0.6249223411573019, 0.6874145752730322, 0.7186606923308974, 0.7342837508598299, 0.7264722215953636, 0.7225664569631305, 0.724519339279247, 0.7235428981211888, 0.7230546775421596, 0.7232987878316741, 0.7231767326869168, 0.7232377602592954, 0.7232682740454848, 0.7232530171523901, 0.7232453887058428]",0.7234538922893702
3,0.005000114440917969,"[0.7859810811056368, 0.7494210011466954, 0.7442306562574001, 0.7259374392312662, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057, 0.7247520832852057]","[-inf, 0.0, 0.0, 0.0, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058, 0.7247520832852058]","[0.4996140007644636, 0.7494210011466954, 0.6245175009555795, 0.6869692510511374, 0.7181951260989163, 0.7338080636228059, 0.7260015948608611, 0.7220983604798887, 0.7240499776703749, 0.725025786265618, 0.7245378819679964, 0.7247818341168072, 0.7246598580424017, 0.7247208460796044, 0.7246903520610031, 0.7247055990703037, 0.7247132225749541]",0.7247520832852058
4,0.003999948501586914,"[0.791708038889126, 0.7495527697777707, 0.7495527697777707, 0.734064128584295, 0.7274594436318766, 0.7274594436318766, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807, 0.7263651111092807]","[0.49970184651851385, 0.7495527697777707, 0.6246273081481423, 0.6870900389629565, 0.7183214043703636, 0.7339370870740671, 0.7261292457222154, 0.7300331663981412, 0.7280812060601782, 0.7271052258911967, 0.726617235806706, 0.7263732407644607, 0.7262512432433381, 0.7261902444827768, 0.7262207438630575, 0.7262359935531978, 0.7262436183982679]",0.7263651111092807
5,0.005000114440917969,"[0.7932053534150146, 0.7497216685774126, 0.7497216685774126, 0.7345839669023246, 0.7278967724032253, 0.7278967724032253, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718215, 0.7276141169718215, 0.7276141169718215, 0.7276141169718215, 0.7276141169718215, 0.7276141169718215, 0.7276141169718215]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217, 0.7276141169718217]","[0.4998144457182751, 0.7497216685774126, 0.6247680571478439, 0.6872448628626282, 0.7184832657200204, 0.7341024671487165, 0.7262928664343684, 0.7301976667915424, 0.7282452666129554, 0.7272690665236619, 0.7267809664790151, 0.7265369164566917, 0.7266589414678535, 0.7265979289622726, 0.7265674227094822, 0.7265826758358773, 0.726590302399075]",0.7276141169718217
6,0.005000114440917969,"[0.7863945772723593, 0.7494529375961319, 0.7490212341912046, 0.731957858320377, 0.725392617242169, 0.725392617242169, 0.725392617242169, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658, 0.7250367260120658]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659, 0.7250367260120659]","[0.49963529173075455, 0.7494529375961319, 0.6245441146634432, 0.6869985261297875, 0.7182257318629597, 0.7338393347295458, 0.7260325332962527, 0.7221291325796062, 0.7240808329379295, 0.725056683117091, 0.7245687580275102, 0.7248127205723006, 0.7249347018446959, 0.7248737112084982, 0.7248432158903995, 0.7248584635494488, 0.7248660873789735]",0.7250367260120659
7,0.003000020980834961,"[0.78646046972175, 0.7494799404105226, 0.7465907000333716, 0.7286938108040215, 0.7235051922840515, 0.7235051922840515, 0.7235051922840515, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401, 0.7230659682383401]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402, 0.7230659682383402]","[0.49965329360701505, 0.7494799404105226, 0.6245666170087688, 0.6870232787096457, 0.7182516095600842, 0.7338657749853034, 0.7260586922726937, 0.7221551509163889, 0.7241069215945413, 0.723131036255465, 0.7226430935859269, 0.722887064920696, 0.7227650792533115, 0.7228260720870037, 0.7227955756701576, 0.7228108238785806, 0.7228184479827922]",0.7230659682383402
8,0.003000020980834961,"[0.7858666651985625, 0.7492075433346513, 0.7453624268054254, 0.7300822741466207, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234884]","[-inf, 0.0, 0.0, 0.0, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885, 0.7258166580234885]","[0.4994716955564342, 0.7492075433346513, 0.6243396194455428, 0.686773581390097, 0.7179905623623741, 0.7335990528485128, 0.7257948076054435, 0.7296969302269781, 0.7277458689162108, 0.7267703382608272, 0.7262825729331353, 0.7260386902692894, 0.7259167489373664, 0.7258557782714049, 0.7258252929384241, 0.7258100502719338, 0.7258024289386886]",0.7258166580234885
9,0.004000186920166016,"[0.7827797398288865, 0.7494727408300992, 0.7433741134859028, 0.7283568176829922, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997, 0.7266545622867997]","[-inf, 0.0, 0.0, 0.0, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998, 0.7266545622867998]","[0.4996484938867328, 0.7494727408300992, 0.624560617358416, 0.6870166790942576, 0.7182447099621784, 0.7026306945282179, 0.7104377022451982, 0.7143412061036882, 0.7123894541744432, 0.7114135782098208, 0.711901516192132, 0.7121454851832876, 0.7120235006877098, 0.7120844929354987, 0.7121149890593932, 0.7121302371213404, 0.7121378611523139]",0.7266545622867998
10,0.003000020980834961,"[0.7929405811276109, 0.7498916757620726, 0.7498916757620726, 0.7334425330296357, 0.7273520320796542, 0.7273520320796542, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152524, 0.7268180648152524, 0.7268180648152524]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525, 0.7268180648152525]","[0.49992778384138176, 0.7498916757620726, 0.6249097298017272, 0.6874007027818999, 0.7186461892719862, 0.7342689325170294, 0.7264575608945079, 0.7303632467057686, 0.7284104038001382, 0.727433982347323, 0.7269457716209154, 0.7267016662577117, 0.7268237189393136, 0.7267626925985127, 0.7267932057689132, 0.7268084623541133, 0.7268008340615133]",0.7268180648152525
